Security ID,The Date of this Price,Option Symbol,Expiration Date of the Option,Date on Which the Option Last Traded,"C=Call, P=Put",Strike Price of the Option Times 1000,Highest Closing Bid Across All Exchanges,Lowest  Closing Ask Across All Exchanges,Volume,Open Interest for the Option,Unique ID for the Option Contract,Forward Price,Index Flag,Description of the Issuing Company,"(A)merican, (E)uropean, or ?"
108105,20190603,SPX 190719C1000000,20190719,20190530,C,1000000,1739.6,1743.2,0,10758,128142622,2746.220064,1,CBOE S&P 500 INDEX,E
108105,20190603,SPX 190719C1100000,20190719,,C,1100000,1639.9,1643.5,0,0,128142623,2746.220064,1,CBOE S&P 500 INDEX,E
108105,20190603,SPX 190719C1200000,20190719,,C,1200000,1540.3,1543.9,0,0,127972882,2746.220064,1,CBOE S&P 500 INDEX,E
108105,20190603,SPX 190719C1300000,20190719,,C,1300000,1440.7,1444.3,0,0,127972883,2746.220064,1,CBOE S&P 500 INDEX,E
108105,20190603,SPX 190719C1375000,20190719,,C,1375000,1365.9,1369.5,0,0,128192172,2746.220064,1,CBOE S&P 500 INDEX,E
108105,20190603,SPX 190719C1400000,20190719,,C,1400000,1341,1344.6,0,0,127972884,2746.220064,1,CBOE S&P 500 INDEX,E
108105,20190603,SPX 190719C1425000,20190719,,C,1425000,1316.1,1319.7,0,0,127972885,2746.220064,1,CBOE S&P 500 INDEX,E
108105,20190603,SPX 190719C1450000,20190719,,C,1450000,1291.2,1294.8,0,0,127972886,2746.220064,1,CBOE S&P 500 INDEX,E
108105,20190603,SPX 190719C1475000,20190719,,C,1475000,1266.3,1269.9,0,0,127972887,2746.220064,1,CBOE S&P 500 INDEX,E
108105,20190603,SPX 190719C1500000,20190719,20190528,C,1500000,1241.4,1245,0,54,127972888,2746.220064,1,CBOE S&P 500 INDEX,E
108105,20190603,SPX 190719C1525000,20190719,,C,1525000,1216.5,1220.1,0,0,127972889,2746.220064,1,CBOE S&P 500 INDEX,E
108105,20190603,SPX 190719C1550000,20190719,,C,1550000,1191.6,1195.2,0,0,127972890,2746.220064,1,CBOE S&P 500 INDEX,E
108105,20190603,SPX 190719C1575000,20190719,,C,1575000,1166.7,1170.3,0,0,127972891,2746.220064,1,CBOE S&P 500 INDEX,E
108105,20190603,SPX 190719C1600000,20190719,,C,1600000,1141.8,1145.4,0,0,127972892,2746.220064,1,CBOE S&P 500 INDEX,E
108105,20190603,SPX 190719C1625000,20190719,,C,1625000,1116.9,1120.5,0,0,127972893,2746.220064,1,CBOE S&P 500 INDEX,E
108105,20190603,SPX 190719C1650000,20190719,,C,1650000,1092,1095.6,0,0,127972894,2746.220064,1,CBOE S&P 500 INDEX,E
108105,20190603,SPX 190719C1675000,20190719,,C,1675000,1067.1,1070.7,0,0,127972895,2746.220064,1,CBOE S&P 500 INDEX,E
108105,20190603,SPX 190719C1700000,20190719,,C,1700000,1042.3,1045.8,0,0,127972896,2746.220064,1,CBOE S&P 500 INDEX,E
108105,20190603,SPX 190719C1725000,20190719,,C,1725000,1017.4,1020.9,0,0,127972897,2746.220064,1,CBOE S&P 500 INDEX,E
108105,20190603,SPX 190719C1750000,20190719,,C,1750000,992.5,996.1,0,0,127972898,2746.220064,1,CBOE S&P 500 INDEX,E
